MapID,Area Name,Persons 3 years and over enrolled in nursery school,Persons 3 years and over enrolled in kindergarten,Persons 3 years and over enrolled in grade 1-grade 4,Persons 3 years and over enrolled in grade 5-grade 8,Persons 3 years and over enrolled in grade 9-grade 12,Persons 3 years and over enrolled in college,Persons 3 years and over graduate or professional school,Persons 3 years and over not enrolled in school,"Families with income < $10,000","Families with income between $10,000-$14,999","Families with income between $15,000-$19,999","Families with income between $20,000-$24,999","Families with income between $25,000-$29,999","Families with income between $30,000-$34,999","Families with income between $35,000-$39,999","Families with income between $40,000-$44,999","Families with income between $45,000-$49,999","Families with income between $50,000-$59,999","Families with income between $60,000-$74,999","Families with income between $75,000-$99,999","Families with income between $100,000-$124,999","Families with income between $125,000-$149,999","Families with income between $150,000-$199,999",Number of persons 25+ yrs in 7th grade,Number of persons 25+ yrs in 8th grade,Number of persons 25+ yrs in 9th grade,Number of persons 25+ yrs in 10th grade,Number of persons 25+ yrs in 11th grade,"Number of persons 25+ yrs in 12th grade, no diploma",Number of persons 25+ yrs with regular high school diploma,Number of persons 25+ yrs with GED or alternative credential,"Number of persons 25+ yrs with some college, less than 1 year","Number of persons 25+ yrs with some college, 1 or more years, no degre",Number of persons 25+ yrs with associate's degree,Number of persons 25+ yrs with bachelor's degree,Number of persons 25+ yrs with master's degree,Number of persons 25+ yrs with professional school degree,Number of persons 25+ yrs with doctorate degree,"Workers 16+ years in management, business, science,arts occupations",Workers 16 years and over in service occupations,Workers 16 years and over in sales and office occupations,"Workers 16+ years in natural resources, construction, maint occupation","Workers 16 years and over in production, transport, material moving",Workers 16 years and over in armed forces
406,Bellerose,327,422,1317,1069,1307,2094,519,19815,243,110,117,49,123,114,216,191,134,449,495,914,922,557,1060,54,270,436,175,232,556,4993,783,584,2177,1382,4036,2494,315,153,5068,2320,3058,964,1755,0
103,Belmont,425,584,1954,1471,1885,5132,419,16534,1019,354,704,282,330,481,426,458,199,455,308,315,209,141,0,163,470,463,936,570,336,3179,940,631,2183,692,1535,483,188,163,1852,3840,2677,1193,965,15
204,Bensonhurst East,784,1052,2965,2578,2996,3413,1095,48387,868,788,952,859,766,907,817,733,532,1070,1710,1917,1573,811,1172,257,1031,1292,880,749,1689,12057,1198,1417,3157,3360,9785,3598,697,303,9636,6660,6626,2772,3669,28
205,Bensonhurst West,1437,1159,4291,3551,3970,5278,1264,68160,902,1008,1123,1461,1246,1103,1330,879,980,1557,2042,2858,1788,1152,1689,530,1691,2033,1349,974,2873,15912,1833,1814,5116,4741,13008,4285,721,258,12256,10964,9584,4279,4773,8
206,Borough Park,3031,3505,9021,8320,7979,4769,1050,58991,1150,1780,1791,1742,1572,1412,1134,1189,841,1122,1563,1990,1465,866,993,427,1676,1419,894,904,4991,17272,2208,1740,4605,2259,6029,3265,798,255,11614,6593,11014,2420,2765,0
407,Breezy Point-Belle Harbor-Rockaway Park-Bro,543,167,972,1131,1648,1305,446,20576,197,86,83,24,123,151,198,129,145,364,439,1015,751,630,1038,109,105,138,289,327,636,4051,690,1134,2889,1386,4677,2685,600,269,5407,2033,2527,1216,767,0
408,Briarwood-Jamaica Hills,681,618,1774,1544,1936,2788,962,31696,298,191,432,529,330,530,307,469,281,864,864,1211,1090,730,736,236,554,604,776,399,771,4485,2008,1427,3550,2459,7060,3396,672,247,7620,4283,5637,1601,2233,0
207,Brighton Beach,429,399,1629,1518,1437,1753,472,27115,363,738,494,608,549,388,322,319,271,785,771,723,490,458,654,212,509,154,279,267,612,5880,620,395,2167,2518,6909,3191,993,347,5133,3843,2379,1226,1649,8
104,Bronxdale,600,449,1992,1686,1992,2241,444,26834,1116,563,639,438,396,538,609,564,326,712,856,1109,465,403,326,275,787,800,890,801,787,5662,1549,1146,3467,2148,2997,1365,167,128,3932,4116,4116,1548,1639,0
208,Brooklyn Heights-Cobble Hill,494,281,543,472,400,1701,1193,17971,23,26,120,53,8,60,116,77,8,16,153,310,388,370,750,0,15,28,45,24,68,1427,199,313,905,474,6596,4658,2685,802,10512,694,1958,205,125,0
209,Brownsville,1177,832,2707,3786,3755,3435,315,38939,2084,1174,970,884,648,637,672,559,537,829,841,848,600,229,90,329,812,835,1345,2223,1995,8988,3935,2662,4679,2999,2829,900,180,25,3647,6750,4438,1080,1711,0
210,Bushwick North,1025,746,2704,3239,3055,3444,940,42739,1074,747,967,775,523,534,568,562,468,896,992,1008,797,497,412,406,733,1332,933,1455,2474,6912,1409,1018,4085,1738,7822,2308,337,81,10121,7580,5919,3304,3636,0
211,Bushwick South,1169,810,3728,3227,3465,4700,1166,54620,1629,1189,891,832,657,765,651,660,756,1003,1334,1527,854,553,464,539,1055,1561,1773,2038,1719,10061,2723,1598,6058,2800,9878,2589,292,150,12023,9876,8248,2671,3435,0
409,Cambria Heights,237,156,718,890,1101,1437,293,15276,54,43,24,65,156,100,156,90,116,330,533,781,634,554,641,64,77,151,83,224,345,3279,662,733,2672,1494,3105,1664,183,113,3520,2533,2460,496,1092,19
212,Canarsie,1619,1114,4112,5020,4866,7443,1315,60545,1045,631,788,742,664,743,893,873,715,1379,2387,3653,2654,1499,1817,343,539,708,925,1270,1842,13622,3940,2284,9120,6123,10591,4523,713,302,14360,11825,9244,2854,4228,47
213,Carroll Gardens-Columbia Street-Red Hook,1266,672,1888,1537,1580,1063,856,32431,678,334,251,320,222,237,272,330,133,198,744,730,710,707,1489,248,321,439,445,521,689,3054,823,893,1991,773,10210,6982,2531,847,16050,2004,3681,515,626,0
302,Central Harlem North-Polo Grounds,1975,938,3870,4165,3842,4927,1409,62063,1828,1263,1442,968,1222,679,796,904,670,1344,1697,1431,1052,808,673,265,991,1411,1633,2373,1690,10820,3442,2043,7781,4110,11084,6212,1318,694,14452,9891,9012,1539,2864,0
303,Central Harlem South,845,804,2146,1776,2004,2256,1318,38496,905,525,287,249,317,525,612,314,231,720,626,975,815,511,975,190,386,888,689,1120,1040,6132,1341,875,3901,1927,8867,5777,1397,853,13213,5239,5055,623,1522,0
503,Charleston-Richmond Valley-Tottenville,273,270,1485,1457,1778,1223,308,16649,43,138,146,162,118,105,185,88,117,288,494,911,658,730,943,14,32,226,127,243,292,4219,481,795,1750,1588,3651,1787,296,40,4878,1231,2717,909,972,0
304,Chinatown,552,357,1292,1179,1309,1988,659,37564,617,960,1039,681,664,632,443,247,444,671,483,930,501,188,442,531,1225,1588,775,572,1780,6211,873,518,2129,1172,8319,2659,806,203,9060,4957,4311,581,1779,0
105,Claremont-Bathgate,869,627,2685,2725,2751,1911,294,21766,1574,935,604,781,671,458,317,422,216,461,542,433,113,39,75,240,655,689,1120,1200,585,4213,1244,745,3118,1393,1559,466,75,41,1677,5071,2144,480,1327,0
305,Clinton,244,128,454,491,390,2480,1886,40478,134,198,230,175,202,244,142,73,138,308,407,567,322,673,739,32,216,202,159,314,726,3358,317,1205,2659,1740,16033,8143,2909,978,22324,3150,5777,700,813,0
214,Clinton Hill,756,442,1596,1450,1098,3121,969,27751,195,347,97,137,191,232,180,297,144,481,528,1001,743,576,708,51,347,310,168,208,527,3374,526,892,2899,1434,9231,4954,1289,463,12675,2834,4199,588,915,0
106,Co-Op City,522,530,2743,1868,2175,3214,669,35639,402,297,137,302,823,568,729,566,438,1154,1499,1713,1220,572,692,70,1181,747,385,697,833,7993,1955,2276,5044,3153,5719,2865,398,67,6827,5605,5370,1197,1062,0
410,College Point,253,197,1021,1332,1196,1391,193,18810,204,143,149,383,194,358,222,257,332,578,694,775,634,366,297,65,320,1201,196,255,548,5609,360,790,1837,1644,2322,791,151,60,2603,2852,3148,1275,1408,0
411,Corona,878,935,3357,3393,3352,3285,354,41301,753,520,695,744,1013,776,839,747,671,1306,1171,1571,1036,392,290,320,1429,891,1189,788,981,10827,1118,1126,3923,2760,4925,1349,284,66,3978,9761,5166,3652,3994,0
107,Crotona Park East,549,408,1536,1198,1142,1225,155,14752,922,643,523,231,310,288,312,177,200,262,348,259,200,121,114,343,634,487,531,899,410,2759,781,427,1923,678,1841,272,50,24,1790,2838,1796,892,840,0
215,Crown Heights North,2077,1254,4693,4632,5233,6346,2161,79675,2740,1498,1382,1348,1097,1163,859,1196,826,1689,1889,2223,1609,1202,1109,783,1330,1072,1949,2496,2875,17642,3194,2476,9571,4827,15496,7356,1531,439,20703,13612,11580,2455,3791,36
216,Crown Heights South,786,488,1880,1967,1941,2997,856,28372,383,494,504,361,314,497,449,550,538,1044,951,1064,700,337,349,67,369,328,333,438,1018,6396,1023,952,4960,1483,5818,2829,628,201,7295,5160,4451,738,1405,0
217,Cypress Hills-City Line,1045,602,2517,2835,2840,3278,400,33337,1047,380,537,552,668,519,482,571,475,1085,1369,1495,694,570,411,233,984,1051,754,909,605,11385,1965,663,3542,1896,2864,909,136,84,3775,6103,5058,2374,3246,7
218,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum,1079,428,1708,1373,1394,1699,1078,33429,466,434,469,441,364,209,192,121,249,405,435,729,684,648,914,208,248,462,656,656,755,3539,928,800,2210,1258,10609,6303,2488,715,15494,2658,3966,450,781,0
412,Douglas Manor-Douglaston-Little Neck,455,263,960,993,876,1099,376,19884,210,19,168,137,318,152,194,74,109,429,577,849,876,734,939,58,240,54,55,188,368,3854,319,700,2336,1745,4984,2874,889,464,6096,1614,2898,588,633,0
219,Dyker Heights,823,592,1810,1865,2391,2314,836,32640,454,418,615,620,554,487,555,342,361,761,1050,1159,1108,710,722,206,791,1616,697,362,1737,8041,825,1013,2148,1945,5805,2391,486,201,6539,4885,4532,1471,2613,9
108,East Concourse-Concourse Village,881,1078,4153,3883,4769,4000,847,43304,1883,954,1170,1042,1380,610,813,671,684,1168,1091,1364,596,252,184,659,1529,1431,1143,1616,1735,8908,1960,1326,5862,2305,4641,1365,237,128,4965,9735,5080,1059,3459,0
413,East Elmhurst,339,327,1014,1071,1096,1432,265,15210,210,104,180,191,212,160,214,238,233,215,547,601,336,321,224,62,851,219,227,307,541,5463,355,323,1428,950,1630,542,81,19,1830,2725,1877,1243,1377,0
220,East Flatbush-Farragut,694,735,2900,2158,3074,3692,858,37305,589,308,520,552,640,560,694,568,525,994,1531,2060,1458,912,597,303,743,282,416,518,1128,11127,1909,1124,6272,2956,5611,2727,333,215,7321,7944,5148,1815,2314,26
414,East Flushing,224,220,1011,962,977,1969,476,19944,270,341,317,375,344,440,360,376,312,366,528,741,541,370,376,86,243,1559,153,170,415,4979,411,496,1957,2231,2925,1186,277,154,3265,3378,2653,936,1557,7
306,East Harlem North,968,960,3004,3795,3812,3671,1026,43475,2265,900,1113,1009,833,863,778,796,475,669,1207,907,537,221,358,381,810,1377,1404,2183,1499,8585,2227,962,4875,1974,6444,3145,918,235,7727,6856,6528,810,2044,0
307,East Harlem South,965,524,2180,2741,2683,4157,2356,43570,1216,909,894,619,769,657,645,654,527,983,870,1360,740,336,416,321,505,1190,1236,1607,1412,7102,1664,1075,4786,2678,9613,3828,1844,1153,12199,5277,5871,823,1660,0
221,East New York,1814,1963,6028,5424,5439,5675,674,65462,3050,1161,1312,1282,951,1204,1531,951,738,1410,1879,2377,1674,811,935,464,1195,1148,1324,2107,1654,21589,4541,2373,7180,4035,6597,2007,173,210,9076,12330,8653,2867,4180,12
222,East New York (Pennsylvania Ave),502,423,1923,1949,1678,2110,328,19458,902,425,393,354,268,337,237,342,298,402,811,773,401,276,313,87,446,362,439,801,697,4988,1841,1142,2110,1618,1629,522,38,85,2288,4144,2150,1038,1051,0
109,East Tremont,590,879,2681,3044,3436,2541,221,29513,1488,983,1305,1064,586,694,564,464,334,805,524,748,387,80,76,404,1092,1472,1590,1956,935,5115,1770,853,4073,1545,2463,572,129,126,2611,6045,3669,840,1996,0
308,East Village,209,97,437,371,510,6606,1690,31996,204,194,177,214,221,202,103,210,239,241,420,531,367,376,543,96,86,202,233,238,357,2436,494,543,2369,1299,14673,6050,1532,1022,17512,2955,4705,291,569,0
223,East Williamsburg,406,295,936,544,1070,1980,763,29423,530,475,433,398,373,333,318,246,194,355,535,855,599,501,470,186,562,407,353,530,780,4826,766,908,2417,1207,9006,2842,444,237,10586,4010,4123,630,1119,0
110,Eastchester-Edenwald-Baychester,580,437,1667,1765,2552,3215,598,25258,450,345,320,238,631,243,485,439,235,566,1008,1101,937,465,668,186,347,462,368,854,788,6088,1004,941,3481,2427,3669,1792,93,109,4799,4984,3759,1274,1351,0
415,Elmhurst,1006,1302,3561,3241,3203,4646,1210,62745,725,709,917,1061,1090,1118,1208,923,795,1939,1810,2197,1593,714,672,388,2317,1275,1314,661,2080,16660,1797,1690,5180,3570,11101,3201,594,321,9228,14107,8139,3174,5554,0
416,Elmhurst-Maspeth,275,153,1091,1047,1267,1437,550,19187,122,261,207,174,187,192,315,336,212,592,667,746,488,190,502,49,453,404,234,243,831,5415,281,538,1596,1206,4083,1302,259,207,3642,3391,3141,933,1922,0
224,Erasmus,663,502,1556,1588,1619,1948,558,19797,499,255,236,259,303,530,518,259,227,367,740,908,530,330,294,135,207,306,369,256,796,6320,868,422,2859,1404,3228,1155,257,75,3915,4865,2592,827,784,0
417,Far Rockaway-Bayswater,1507,1032,3843,2619,3055,2852,744,35894,933,428,508,381,521,419,429,344,612,1177,1460,1325,981,596,663,422,532,763,1087,1298,2298,6741,1547,1321,3996,2475,4938,2515,587,334,7072,6408,3866,1343,2030,31
225,Flatbush,1408,1975,6062,5342,5673,7164,1899,75037,1197,1120,1061,1278,1446,1351,1024,948,961,1964,2739,3184,2212,927,1397,539,1287,1246,1285,1150,2755,17167,2440,2049,7873,4657,14975,7871,1310,682,18404,13952,9852,3340,4871,0
226,Flatlands,1115,1100,3931,3806,4417,5888,1049,50813,558,363,480,516,493,678,704,650,695,1194,1929,2739,2312,1466,1675,334,693,366,582,747,1489,12021,2904,1837,7698,4334,9788,4768,743,280,12633,8023,7797,2447,2717,24
